Full Address,Purchase Price,Bedrooms,Bathrooms,Square Feet
"4212 Valley Cir, Des Moines, IA 50317",299000,4,2,1344
"4242 E Ovid Ave, Des Moines, IA 50317",260000,5,2,816
"2109 46th St, Des Moines, IA 50310",299900,4,2,1569
"1616 Porter Ave, Des Moines, IA 50315",289900,4,2,1048
"8517 Crestview Dr, Des Moines, IA 50320",260000,4,2,1442
"3945 38th St, Des Moines, IA 50310",264000,4,2,1617
"4010 E 23rd St, Des Moines, IA 50317",275000,5,2,1640
"2412 48th Pl, Des Moines, IA 50310",260000,5,2,952
"2909 Shadow Creek Ln, Des Moines, IA 50320",294999,4,3,1218
"2743 Des Moines St, Des Moines, IA 50317",250000,4,2,1131
"210 E Pleasant View Dr, Des Moines, IA 50315",274000,4,2,1408
"2325 SE 6th St, Des Moines, IA 50315",275000,4,3,1096
"2928 High St, Des Moines, IA 50312",285000,5,2,1993
"3508 Fairlane Dr, Des Moines, IA 50315",289900,4,2,1296
"4140 Boyd St, Des Moines, IA 50317",269500,4,2,1140
"2610 Westover Blvd, Des Moines, IA 50322",279000,4,2,1672
"2814 Rutland Ave, Des Moines, IA 50311",280000,4,2,2195
"4425 Amick Ave, Des Moines, IA 50310",259900,4,2,1617
"1347 Forest Ave, Des Moines, IA 50314",269900,4,2,1460
"1220 E 38th St, Des Moines, IA 50317",264500,4,3,1080
"3006 Timber Hill Ct, Des Moines, IA 50320",295000,4,3,1326
"2735 SE 17th St, Des Moines, IA 50320",300000,4,3,1220
"4150 E Garden Ave, Des Moines, IA 50317",267000,4,2,1000
"2108 36th St, Des Moines, IA 50310",290000,5,2,1632
"306 31st St, Des Moines, IA 50312",285000,4,3,1407
"4032 E 23rd St, Des Moines, IA 50317",250000,4,2,950
"3029 SW 40th St, Des Moines, IA 50321",265000,4,3,1998
"3024 Deerpath Ct, Des Moines, IA 50320",300000,4,3,1308
"730 Arthur Ave, Des Moines, IA 50316",259000,4,2,1889
"4111 Allison Ave, Des Moines, IA 50310",299000,4,2,1495
"4114 Martin Luther King Jr Pkwy, Des Moines, IA 50310",299500,5,2,960
"518 Maxwelton Dr, Des Moines, IA 50315",255000,4,2,834
"1306 E 15th St, Des Moines, IA 50316",279900,4,2,1156
"2531 Shaw St, Des Moines, IA 50317",289900,4,2,1156
"1530 9th St, Des Moines, IA 50314",253000,5,3,2212
"2510 Forest Dr, Des Moines, IA 50312",275000,4,2,1764
"335 Palomino Pkwy, Des Moines, IA 50320",250000,4,2,1184
"2620 Arnold Rd, Des Moines, IA 50310",265000,4,2,1343
"525 SE 9th St, Des Moines, IA 50309",279900,4,2,1070
"1330 Clark St, Des Moines, IA 50314",275000,4,3,1115
"4401 Twana Dr, Des Moines, IA 50310",295000,4,2,1264
"1273 E 18th St, Des Moines, IA 50316",269900,4,4,1886

