Full Address,Purchase Price,Bedrooms,Bathrooms,Square Feet
"3001 Don Lee Ct, Des Moines, IA 50317",225000,3,2,1014
"3131 6th Ave, Des Moines, IA 50313",189000,3,2,1346
"1203 Herold Ave, Des Moines, IA 50315",204000,3,2,816
"3711 37th St, Des Moines, IA 50310",200000,3,2,686
"931 Rose Ave, Des Moines, IA 50315",229900,3,2,972
"3214 SE 20th St, Des Moines, IA 50320",230000,3,2,1020
"3846 Lower Beaver Rd, Des Moines, IA 50310",209900,3,2,1224
"3005 Don Lee Ct, Des Moines, IA 50317",212900,3,2,948
"3112 E 41st St, Des Moines, IA 50317",238000,3,2,1282
"725 40th St, Des Moines, IA 50312",245000,3,2,1202
"2336 E 13th St, Des Moines, IA 50316",179000,3,2,1261
"1601 E 22nd St, Des Moines, IA 50317",97400,3,2,1225
"4210 Timber Ln, Des Moines, IA 50317",235000,3,2,1066
"3315 E 25th St, Des Moines, IA 50317",229900,3,2,1120
"5912 Rutland Dr, Des Moines, IA 50311",189900,3,2,1692
"1441 56th St, Des Moines, IA 50311",249900,3,2,1119
"1352 E 12th St, Des Moines, IA 50316",160000,3,2,1621
"3420 Thompson Ave, Des Moines, IA 50317",225000,3,2,1050
"3941 30th St, Des Moines, IA 50310",250000,3,2,1104
"3807 Glen Ellen Dr, Des Moines, IA 50317",250000,3,2,1088
"5814 SW 3rd St, Des Moines, IA 50315",200000,3,2,868
"1257 NE 50th Ave, Des Moines, IA 50313",200000,3,2,930
"1400 Mattern Ave, Des Moines, IA 50316",192000,3,2,988
"3109 Holcomb Ave, Des Moines, IA 50310",215000,3,2,1087
"800 E Edison Ave, Des Moines, IA 50315",157000,3,2,1024
"1557 27th St, Des Moines, IA 50311",120000,3,2,1092
"3512 62nd St, Des Moines, IA 50322",225000,3,2,1138
"2803 Easton Blvd, Des Moines, IA 50317",229000,3,3,1737
"1618 E 31st St, Des Moines, IA 50317",209900,3,2,974
"2940 Cleveland Ave, Des Moines, IA 50317",169900,3,2,820
"712 E Hackley Ave, Des Moines, IA 50315",217500,3,2,834
"1210 Highview Dr, Des Moines, IA 50315",218000,3,2,1040
"3416 Hillcrest Dr, Des Moines, IA 50310",234900,3,2,960
"675 34th St, Des Moines, IA 50312",245000,3,2,966
"8315 Warren Dr, Des Moines, IA 50320",235000,3,2,875
"3101 John Patterson Rd, Des Moines, IA 50317",250000,3,2,1234
"6001 SW 13th Pl, Des Moines, IA 50315",238000,3,2,1036
"8065 Dema Dr, Des Moines, IA 50320",235000,3,2,1325
"4207 Hull Ave, Des Moines, IA 50317",224000,3,2,831
